# Colour audit — design-system, blog
# Generated by scripts/audit-colour-history.mjs. Evidence, not a source: every value here
# already originates somewhere, and nothing may read this file to obtain a colour.
# Regenerate with: node scripts/audit-colour-history.mjs
#
# 304 distinct values authored on or after 2026. AUTHORED=97 INCIDENTAL=21 RETIRED=162 VENDORED=24
# AUTHORED live in a theme/token/component file · INCIDENTAL live only in one-off surfaces
# VENDORED live only in imported artwork · RETIRED present in history, gone at HEAD
#
hex	tag	family	hue	L	C	commits	first	last	repos	site
#e4e4e7	AUTHORED	neutral	286	0.920	0.004	333	2026-07-26	2026-09-09	blog+design-system	design-system/src/theme.css
#dc2626	AUTHORED	red	27	0.577	0.215	326	2026-01-14	2026-09-08	blog+design-system	blog/components/graphics/palette.ts
#f472b6	AUTHORED	pink	350	0.725	0.175	326	2026-07-01	2026-09-08	blog	blog/components/talks/DeckLive.tsx
#3f3f46	AUTHORED	neutral	286	0.370	0.012	322	2026-07-01	2026-09-08	blog	blog/components/interactive/Walkthrough.tsx
#8b5cf6	INCIDENTAL	violet	293	0.606	0.219	321	2026-01-14	2026-09-08	blog	blog/.agents/skills/convex-migration-helper/agents/openai.yaml
#ef4444	INCIDENTAL	red	25	0.637	0.208	321	2026-01-14	2026-09-08	blog	blog/.agents/skills/convex-performance-audit/agents/openai.yaml
#14b8a6	INCIDENTAL	teal	183	0.704	0.123	314	2026-07-02	2026-09-08	blog	blog/.agents/skills/convex-create-component/agents/openai.yaml
#f97316	INCIDENTAL	orange	48	0.705	0.187	314	2026-07-02	2026-09-08	blog	blog/.agents/skills/convex-quickstart/agents/openai.yaml
#15803d	AUTHORED	green	150	0.527	0.137	282	2026-07-14	2026-09-08	blog+design-system	blog/components/graphics/palette.ts
#17171b	AUTHORED	neutral	286	0.206	0.008	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#1c1f27	AUTHORED	neutral	269	0.240	0.016	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#202024	AUTHORED	neutral	286	0.245	0.008	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#2a2620	AUTHORED	neutral	78	0.271	0.012	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#2a2a2f	AUTHORED	neutral	286	0.287	0.009	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#33373f	AUTHORED	neutral	264	0.336	0.015	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#3b362a	AUTHORED	neutral	88	0.334	0.021	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#4a4f59	AUTHORED	neutral	264	0.427	0.018	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#565040	AUTHORED	neutral	90	0.432	0.026	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#6a6252	AUTHORED	neutral	85	0.499	0.027	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#86efac	AUTHORED	green	154	0.871	0.136	265	2026-07-14	2026-09-08	blog	blog/components/CyberHero.tsx
#8f8672	AUTHORED	neutral	87	0.622	0.031	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#c4c4be	AUTHORED	neutral	107	0.819	0.008	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#c8c0ad	AUTHORED	neutral	88	0.809	0.028	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#d8d3c4	AUTHORED	neutral	92	0.867	0.021	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#d8d8d2	AUTHORED	neutral	107	0.881	0.008	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#e4ddce	AUTHORED	neutral	86	0.899	0.022	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#eaeae4	AUTHORED	neutral	107	0.935	0.008	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#ece7db	AUTHORED	neutral	88	0.929	0.017	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#eceadf	AUTHORED	neutral	98	0.936	0.015	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#efeadf	AUTHORED	neutral	86	0.938	0.016	265	2026-07-14	2026-09-08	blog	blog/css/tailwind.css
#110000	INCIDENTAL	red	29	0.112	0.046	254	2026-07-14	2026-09-08	blog	blog/data/blog/virtual-monorepo-coding-agents.mdx
#1c1c22	AUTHORED	neutral	285	0.229	0.012	248	2026-07-14	2026-09-08	blog	blog/components/interactive/Walkthrough.tsx
#52525b	AUTHORED	neutral	286	0.442	0.015	227	2026-07-19	2026-09-08	blog	blog/components/interactive/DepResolve.tsx
#09090b	AUTHORED	neutral	286	0.141	0.004	183	2026-08-01	2026-09-08	blog	blog/css/tailwind.css
#d4d4d8	AUTHORED	neutral	286	0.871	0.005	183	2026-08-01	2026-09-08	blog	blog/css/tailwind.css
#fbbf24	AUTHORED	yellow	84	0.837	0.164	177	2026-01-14	2026-09-09	blog+design-system	design-system/docs/gap-analysis.md
#38bdf8	AUTHORED	blue	233	0.754	0.139	170	2026-07-26	2026-09-09	blog+design-system	design-system/src/theme.css
#f43f5e	AUTHORED	red	16	0.645	0.215	170	2026-07-26	2026-09-09	blog+design-system	design-system/docs/gap-analysis.md
#121316	AUTHORED	neutral	271	0.187	0.006	151	2026-07-26	2026-09-09	design-system	design-system/docs/theming.md
#fcfbf9	AUTHORED	neutral	85	0.988	0.003	151	2026-07-26	2026-09-09	design-system	design-system/docs/surface-readiness.md
#110099	INCIDENTAL	blue	268	0.314	0.210	148	2026-08-01	2026-09-08	blog	blog/.github/workflows/pr-checks.yml
#f59e0b	INCIDENTAL	orange	70	0.769	0.165	119	2026-01-14	2026-09-09	blog+design-system	design-system/docs/gap-analysis.md
#b91c1c	AUTHORED	red	28	0.505	0.190	116	2026-08-14	2026-09-09	blog+design-system	design-system/src/theme.css
#4ade80	AUTHORED	green	152	0.800	0.182	114	2026-07-30	2026-09-09	blog+design-system	design-system/src/theme.css
#c2410c	AUTHORED	red	38	0.553	0.174	113	2026-07-30	2026-09-09	design-system	design-system/src/theme.css
#10b981	INCIDENTAL	teal	162	0.696	0.149	104	2026-01-14	2026-09-09	blog+design-system	design-system/docs/gap-analysis.md
#111177	AUTHORED	blue	269	0.281	0.162	100	2026-08-30	2026-09-09	blog+design-system	design-system/docs/adr/0002-one-source-many-emitted-surfaces.md
#111827	INCIDENTAL	neutral	265	0.210	0.032	99	2026-01-14	2026-09-09	blog+design-system	design-system/docs/gap-analysis.md
#9ca3af	INCIDENTAL	neutral	261	0.714	0.019	99	2026-01-14	2026-09-09	blog+design-system	design-system/docs/gap-analysis.md
#f9fafb	INCIDENTAL	neutral	248	0.985	0.002	99	2026-01-14	2026-09-09	blog+design-system	design-system/docs/gap-analysis.md
#050510	AUTHORED	neutral	282	0.123	0.027	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#0b0b0d	AUTHORED	neutral	286	0.151	0.004	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#0c0d0f	AUTHORED	neutral	264	0.159	0.005	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#14142a	AUTHORED	violet	282	0.204	0.043	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#146c34	AUTHORED	green	150	0.468	0.119	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#1c1d21	AUTHORED	neutral	275	0.231	0.008	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#1d4ed8	AUTHORED	blue	264	0.488	0.217	96	2026-08-19	2026-09-09	design-system	design-system/src/components/Button.tsx
#33334d	AUTHORED	violet	284	0.333	0.046	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#3c3d44	AUTHORED	neutral	279	0.362	0.012	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#42454d	AUTHORED	neutral	269	0.391	0.014	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#4b4a45	AUTHORED	neutral	98	0.408	0.008	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#5f636d	AUTHORED	neutral	268	0.500	0.017	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#66655e	AUTHORED	neutral	100	0.505	0.011	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#73777f	AUTHORED	neutral	264	0.569	0.013	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#7c7a72	AUTHORED	neutral	95	0.579	0.012	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#8a8b93	AUTHORED	neutral	280	0.638	0.012	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#8b8ba3	AUTHORED	violet	285	0.645	0.036	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#8f9099	AUTHORED	neutral	281	0.655	0.013	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#9a4708	AUTHORED	orange	49	0.497	0.129	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#9d9db4	AUTHORED	neutral	286	0.704	0.033	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#b0b1b8	AUTHORED	neutral	280	0.762	0.010	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#be123c	AUTHORED	red	17	0.514	0.198	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#c3c3d4	AUTHORED	neutral	286	0.822	0.024	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#c6cad2	AUTHORED	neutral	265	0.838	0.012	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#c81e1e	AUTHORED	red	28	0.535	0.203	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#cbc5b7	AUTHORED	neutral	88	0.824	0.020	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#eef1f5	AUTHORED	neutral	255	0.957	0.006	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#f4f1e9	AUTHORED	neutral	90	0.958	0.011	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#f7f8fa	AUTHORED	neutral	265	0.979	0.003	96	2026-08-19	2026-09-09	design-system	design-system/src/theme.css
#818cf8	INCIDENTAL	violet	277	0.680	0.158	95	2026-08-19	2026-09-09	design-system	design-system/docs/gap-analysis.md
#111155	RETIRED	blue	273	0.238	0.118	94	2026-08-30	2026-09-08	blog	
#112277	RETIRED	blue	267	0.307	0.145	94	2026-08-30	2026-09-08	blog	
#113300	RETIRED	green	137	0.284	0.087	94	2026-08-30	2026-09-08	blog	
#113333	RETIRED	cyan	195	0.296	0.039	94	2026-08-30	2026-09-08	blog	
#123456	RETIRED	blue	251	0.319	0.072	92	2026-08-30	2026-09-08	blog+design-system	
#111111	RETIRED	neutral	90	0.178	0.000	88	2026-08-30	2026-09-08	blog	
#222222	RETIRED	neutral	90	0.252	0.000	88	2026-08-30	2026-09-08	blog	
#16a34a	RETIRED	green	149	0.627	0.170	74	2026-07-26	2026-09-01	blog+design-system	
#0a2b3c	RETIRED	blue	235	0.274	0.049	67	2026-09-01	2026-09-08	blog	
#0a2bdf	RETIRED	blue	265	0.439	0.262	67	2026-09-01	2026-09-08	blog	
#fb923c	RETIRED	orange	56	0.758	0.159	38	2026-07-30	2026-09-01	blog+design-system	
#110011	RETIRED	magenta	328	0.125	0.057	34	2026-08-01	2026-09-01	blog	
#a78bfa	RETIRED	violet	294	0.709	0.159	29	2026-01-14	2026-09-01	blog	
#d97706	RETIRED	orange	58	0.666	0.157	27	2026-01-14	2026-09-01	blog	
#0284c7	RETIRED	blue	242	0.588	0.139	25	2026-08-13	2026-09-01	blog	
#77787a	RETIRED	neutral	265	0.572	0.003	25	2026-09-01	2026-09-08	blog	
#8c8d8d	RETIRED	neutral	197	0.643	0.001	25	2026-09-01	2026-09-08	blog	
#92400e	RETIRED	orange	46	0.473	0.125	25	2026-08-13	2026-09-01	blog	
#9333ea	RETIRED	violet	302	0.558	0.252	25	2026-08-13	2026-09-01	blog	
#a1a1a0	RETIRED	neutral	106	0.709	0.001	25	2026-09-01	2026-09-08	blog	
#b6b6b3	RETIRED	neutral	106	0.775	0.004	25	2026-09-01	2026-09-08	blog	
#c026d3	RETIRED	magenta	323	0.591	0.257	25	2026-08-13	2026-09-01	blog	
#7dd3fc	RETIRED	blue	230	0.828	0.101	24	2026-08-14	2026-09-01	blog+design-system	
#1b1535	RETIRED	violet	289	0.223	0.060	23	2026-08-14	2026-09-01	blog	
#1a1a1a	INCIDENTAL	neutral	90	0.218	0.000	21	2026-08-30	2026-09-09	design-system	design-system/reference/bookofshapes/README.md
#8670d8	RETIRED	violet	291	0.613	0.153	21	2026-08-14	2026-09-01	blog	
#f87171	RETIRED	red	22	0.711	0.166	21	2026-07-30	2026-09-01	blog	
#0369a1	RETIRED	blue	243	0.500	0.119	20	2026-08-14	2026-09-01	blog	
#0f172a	RETIRED	blue	266	0.208	0.040	20	2026-08-14	2026-09-01	blog	
#110e28	RETIRED	violet	285	0.184	0.051	20	2026-08-14	2026-09-01	blog	
#151032	RETIRED	violet	286	0.202	0.065	20	2026-08-14	2026-09-01	blog	
#16122d	RETIRED	violet	288	0.204	0.052	20	2026-08-14	2026-09-01	blog	
#181538	RETIRED	violet	284	0.222	0.066	20	2026-08-14	2026-09-01	blog	
#1e1b4b	RETIRED	violet	281	0.257	0.086	20	2026-08-14	2026-09-01	blog	
#22194a	RETIRED	violet	287	0.256	0.087	20	2026-08-14	2026-09-01	blog	
#22c55e	RETIRED	green	150	0.723	0.192	20	2026-08-14	2026-09-01	blog	
#322368	RETIRED	violet	288	0.318	0.115	20	2026-08-14	2026-09-01	blog	
#332766	RETIRED	violet	288	0.324	0.106	20	2026-08-14	2026-09-01	blog	
#3b0764	RETIRED	violet	303	0.291	0.143	20	2026-08-14	2026-09-01	blog	
#3c2c78	RETIRED	violet	288	0.357	0.124	20	2026-08-14	2026-09-01	blog	
#451a03	RETIRED	orange	46	0.279	0.074	20	2026-08-14	2026-09-01	blog	
#4a3880	RETIRED	violet	292	0.399	0.117	20	2026-08-14	2026-09-01	blog	
#4c1d95	RETIRED	violet	294	0.380	0.178	20	2026-08-14	2026-09-01	blog	
#4c3a88	RETIRED	violet	290	0.410	0.125	20	2026-08-14	2026-09-01	blog	
#604d9c	RETIRED	violet	292	0.478	0.124	20	2026-08-14	2026-09-01	blog	
#713f12	RETIRED	orange	58	0.421	0.090	20	2026-08-14	2026-09-01	blog	
#7c68ba	RETIRED	violet	293	0.572	0.124	20	2026-08-14	2026-09-01	blog	
#7e22ce	RETIRED	violet	302	0.496	0.237	20	2026-08-14	2026-09-01	blog	
#854d0e	RETIRED	orange	62	0.476	0.103	20	2026-08-14	2026-09-01	blog	
#a16207	RETIRED	orange	66	0.554	0.121	20	2026-08-14	2026-09-01	blog	
#a21caf	RETIRED	magenta	324	0.518	0.226	20	2026-08-14	2026-09-01	blog	
#a855f7	RETIRED	violet	304	0.627	0.233	20	2026-08-14	2026-09-01	blog	
#c084fc	RETIRED	violet	306	0.722	0.177	20	2026-08-14	2026-09-01	blog	
#ca8a04	RETIRED	yellow	76	0.681	0.142	20	2026-08-14	2026-09-01	blog	
#d8b4fe	RETIRED	violet	306	0.827	0.108	20	2026-08-14	2026-09-01	blog	
#d946ef	RETIRED	magenta	322	0.667	0.259	20	2026-08-14	2026-09-01	blog	
#e0f2fe	RETIRED	neutral	237	0.951	0.025	20	2026-08-14	2026-09-01	blog	
#e11d48	RETIRED	red	18	0.586	0.222	20	2026-08-14	2026-09-01	blog	
#e9d5ff	RETIRED	violet	307	0.902	0.060	20	2026-08-14	2026-09-01	blog	
#ea580c	RETIRED	orange	41	0.646	0.194	20	2026-08-14	2026-09-01	blog	
#eab308	RETIRED	yellow	86	0.795	0.162	20	2026-08-14	2026-09-01	blog	
#f0abfc	RETIRED	magenta	321	0.833	0.132	20	2026-08-14	2026-09-01	blog	
#f3e8ff	RETIRED	neutral	307	0.946	0.033	20	2026-08-14	2026-09-01	blog	
#fb7185	RETIRED	pink	13	0.719	0.169	20	2026-08-14	2026-09-01	blog	
#fbcfe8	RETIRED	pink	343	0.899	0.059	20	2026-08-14	2026-09-01	blog	
#fda4af	RETIRED	pink	12	0.810	0.106	20	2026-08-14	2026-09-01	blog	
#fdba74	RETIRED	orange	66	0.837	0.117	20	2026-08-14	2026-09-01	blog	
#fde047	RETIRED	yellow	98	0.905	0.166	20	2026-08-14	2026-09-01	blog	
#fef08a	RETIRED	yellow	102	0.945	0.124	20	2026-08-14	2026-09-01	blog	
#242424	RETIRED	neutral	90	0.260	0.000	10	2026-08-30	2026-09-08	design-system	
#bbbbbb	RETIRED	neutral	90	0.792	0.000	10	2026-08-30	2026-09-08	design-system	
#d0c8c0	RETIRED	neutral	68	0.837	0.014	10	2026-08-30	2026-09-08	design-system	
#e0e0e0	RETIRED	neutral	90	0.907	0.000	10	2026-08-30	2026-09-08	design-system	
#ff0008	RETIRED	red	29	0.628	0.257	10	2026-08-30	2026-09-08	design-system	
#ffc6c7	RETIRED	red	17	0.877	0.065	10	2026-08-30	2026-09-08	design-system	
#60a5fa	RETIRED	blue	255	0.714	0.143	8	2026-01-14	2026-07-30	blog	
#059669	RETIRED	teal	163	0.596	0.127	7	2026-01-14	2026-01-15	blog	
#1f2937	RETIRED	neutral	257	0.278	0.030	7	2026-01-14	2026-01-15	blog	
#374151	RETIRED	neutral	260	0.373	0.031	7	2026-01-14	2026-01-15	blog	
#4b5563	RETIRED	neutral	257	0.446	0.026	7	2026-01-14	2026-01-15	blog	
#6d28d9	RETIRED	violet	293	0.491	0.241	7	2026-01-14	2026-01-15	blog	
#d1d5db	RETIRED	neutral	258	0.872	0.009	7	2026-01-14	2026-01-15	blog	
#e5e7eb	RETIRED	neutral	265	0.928	0.006	7	2026-01-14	2026-01-15	blog	
#f3f4f6	RETIRED	neutral	265	0.967	0.003	7	2026-01-14	2026-01-15	blog	
#0b1120	RETIRED	neutral	267	0.180	0.032	5	2026-09-01	2026-09-08	blog	
#5b21b6	RETIRED	violet	293	0.432	0.211	5	2026-07-30	2026-08-30	blog+design-system	
#67e8f9	RETIRED	cyan	207	0.865	0.115	5	2021-08-09	2026-08-30	blog+design-system	
#0000ff	RETIRED	blue	264	0.452	0.313	4	2026-08-30	2026-08-30	design-system	
#0e7490	RETIRED	cyan	223	0.520	0.094	4	2026-08-30	2026-08-30	design-system	
#115e59	RETIRED	teal	188	0.437	0.071	4	2026-08-30	2026-08-30	design-system	
#1e3a8a	RETIRED	blue	266	0.379	0.138	4	2026-08-30	2026-08-30	design-system	
#1e40af	RETIRED	blue	266	0.424	0.181	4	2026-08-30	2026-08-30	design-system	
#5eead4	RETIRED	teal	181	0.855	0.125	4	2026-08-30	2026-08-30	design-system	
#6a6e75	RETIRED	neutral	262	0.537	0.012	4	2026-08-30	2026-08-30	design-system	
#6b21a8	RETIRED	violet	304	0.438	0.198	4	2026-08-30	2026-08-30	design-system	
#77756c	RETIRED	neutral	97	0.561	0.014	4	2026-08-30	2026-08-30	design-system	
#7a4a06	RETIRED	orange	67	0.455	0.098	4	2026-08-30	2026-08-30	design-system	
#85898f	RETIRED	neutral	258	0.629	0.010	4	2026-08-30	2026-08-30	design-system	
#8a5a00	RETIRED	orange	73	0.508	0.108	4	2026-08-30	2026-08-30	design-system	
